Date,KO,DUK
2010-11-01,30.854999542236328,54.150001525878906
2010-11-02,30.93000030517578,54.810001373291016
2010-11-03,30.975000381469727,54.869998931884766
2010-11-04,31.225000381469727,55.59000015258789
2010-11-05,31.290000915527344,55.470001220703125
2010-11-08,31.229999542236328,55.290000915527344
2010-11-09,31.31999969482422,54.150001525878906
2010-11-10,31.274999618530273,53.63999938964844
2010-11-11,31.399999618530273,53.61000061035156
2010-11-12,31.459999084472656,53.369998931884766
2010-11-15,31.479999542236328,53.220001220703125
2010-11-16,31.040000915527344,52.83000183105469
2010-11-17,31.260000228881836,52.77000045776367
2010-11-18,31.920000076293945,53.06999969482422
2010-11-19,32.15999984741211,52.83000183105469
2010-11-22,32.1349983215332,52.97999954223633
2010-11-23,31.809999465942383,52.709999084472656
2010-11-24,32.30500030517578,52.97999954223633
2010-11-26,32.05500030517578,52.560001373291016
2010-11-29,31.69499969482422,52.529998779296875
2010-11-30,31.584999084472656,52.650001525878906
2010-12-01,32.349998474121094,53.34000015258789
2010-12-02,32.45000076293945,53.279998779296875
2010-12-03,32.25,53.369998931884766
2010-12-06,31.9950008392334,53.040000915527344
2010-12-07,32.06999969482422,52.40999984741211
2010-12-08,32.19499969482422,52.08000183105469
2010-12-09,32.415000915527344,52.31999969482422
2010-12-10,32.32500076293945,52.59000015258789
2010-12-13,32.42499923706055,52.619998931884766
2010-12-14,31.950000762939453,52.97999954223633
2010-12-15,32.369998931884766,52.650001525878906
2010-12-16,32.66999816894531,52.97999954223633
2010-12-17,32.849998474121094,53.220001220703125
2010-12-20,32.654998779296875,53.189998626708984
2010-12-21,32.744998931884766,53.310001373291016
2010-12-22,32.79499816894531,53.279998779296875
2010-12-23,32.790000915527344,53.310001373291016
2010-12-27,32.53499984741211,53.400001525878906
2010-12-28,32.68000030517578,53.58000183105469
2010-12-29,32.724998474121094,53.4900016784668
2010-12-30,32.75,53.400001525878906
2010-12-31,32.8849983215332,53.43000030517578
2011-01-03,32.61000061035156,53.58000183105469
2011-01-04,31.934999465942383,53.849998474121094
2011-01-05,31.7450008392334,53.310001373291016
2011-01-06,31.51499938964844,53.220001220703125
2011-01-07,31.459999084472656,53.369998931884766
2011-01-10,31.530000686645508,52.7400016784668
2011-01-11,31.344999313354492,52.91999816894531
2011-01-12,31.520000457763672,53.130001068115234
2011-01-13,31.700000762939453,53.400001525878906
2011-01-14,31.565000534057617,53.7599983215332
2011-01-18,31.739999771118164,54.029998779296875
2011-01-19,31.709999084472656,54.0
2011-01-20,31.46500015258789,54.150001525878906
2011-01-21,31.385000228881836,54.47999954223633
2011-01-24,31.625,54.5099983215332
2011-01-25,31.479999542236328,54.38999938964844
2011-01-26,31.479999542236328,54.29999923706055
2011-01-27,31.350000381469727,54.630001068115234
2011-01-28,31.104999542236328,53.880001068115234
2011-01-31,31.424999237060547,53.63999938964844
2011-02-01,31.524999618530273,54.150001525878906
2011-02-02,31.43000030517578,53.880001068115234
2011-02-03,31.28499984741211,54.27000045776367
2011-02-04,31.280000686645508,54.029998779296875
2011-02-07,31.260000228881836,54.45000076293945
2011-02-08,31.434999465942383,54.38999938964844
